placename,oc_lat,oc_lng,oc_formatted
Niløse Kirke,55.5575548,11.4951093,"Niløse Kirke, Kongstedvej, 4293 Dianalund, Denmark"
Roerslev Kirke,55.4866279,9.8635826,"Roerslev Kirke, Kirkebjergvej, 5580 Nørre, Denmark"
Seest Kirke,55.483076,9.4375116,"Seest Kirke, Seestvej, 6000 Kolding, Denmark"
Skibinge Kirke,55.1017339,12.0249085,"Skibinge Kirke, Ronesbanke, 4720 Præstø, Denmark"
Støvring Kirke,56.5028488,10.1756466,"Støvring Kirke, Murhusbakken, Støvring, Denmark"
Støvringgård Klosterkirke,NA,NA,NA
"Svendborg, Sct. Nicolaj Kirke",NA,NA,NA
Sønder Tranders Kirke,57.0095618,9.9863732,"Sønder Tranders Kirke, Gulnarevej, 9220 Aalborg Øst, Denmark"
Vester Skerninge Kirke,55.0750489,10.4607322,"Vester Skerninge Kirke, Fåborgvej, 5762 Vester, Denmark"
"Aalborg, Hans Egedes Kirke",57.0228212,9.9416898,"Hans Egedes Kirke, Umanakvej, 9210 Aalborg SØ, Denmark"
"Aarhus, Fredens Kirke",NA,NA,NA
Adslev Kirke,56.0988241,9.993773,"Adslev Kirke, Gammel Ryvej, 8362 Hørning, Denmark"
Balling Kirke,56.6256152,8.8863621,"Balling Kirke, Nittrup, Præstestien, Balling, Denmark"
Bedsted Kirke,55.0584184,9.1057096,"Bedsted Kirke, Kirkegade, Bedsted, Denmark"
Bovense Kirke,55.3823239,10.7215054,"Bovense Kirke, Ringervej, Nyborg Municipality, Denmark"
Bramdrup Kirke,55.522797,9.4771132,"Bramdrup Kirke, Kirkely, 6000 Kolding, Denmark"
Bølling Kirke,55.9767668,8.5541053,"Bølling Kirke, Vester Kirkevej, Bølling, Denmark"
Drejø Kirke,54.9668956,10.4197457,"Drejø Kirke, Kirkevejen, Svendborg Municipality, Denmark"
Emb Kirke,56.7161219,8.6919568,"Blidstrup Kirke, Åbakken, 7970 Redsted, Denmark"
Farendløse Kirke,55.3897007,11.8883157,"Farendløse Kirke, Møllemarken, Farendløsevej, Farendløse, Denmark"
Grenå Kirke,56.4134828,10.8759741,"Grenaa Kirke, Torvet, 8500 Grenaa, Denmark"
Hareskov Kirke,55.7638467,12.398840999999999,"Hareskov Kirke, Skovbovænget, 3500 Værløse, Denmark"
"Holte, Ny Holte Kirke",55.8197682,12.4640559,"Holte Kirke, Rudemarken, 2840 Holte, Denmark"
Hornborg Kirke,55.8552077,9.6651,"Hornborg Kirke, Kirkesvinget, 8762 Flemming, Denmark"
Horsens Hospitalskirke,NA,NA,NA
"Horsens, Vor Frelsers Kirke",55.8621584,9.8519061,"Vor Frelsers Kirke, Torvet, 8700 Horsens, Denmark"
Jystrup Kirke,55.5157438,11.8682745,"Jystrup Kirke, Jystrup Bygade, 4174 Jystrup, Denmark"
Kirke Helsinge Kirke,55.5163214,11.2067591,"Kirke Helsinge Kirke, Søndergade, 4281 Gørlev, Denmark"
Kollund Kirke,54.8415864,9.4528354,"Kollund Kirke, Drosselvej, 6340 Kruså, Denmark"
"København, Kastrup Kirke",NA,NA,NA
Køge Kirke,55.45824,12.1830841,"Sankt Nicolai Kirke, Nørregade, 4600 Køge, Denmark"
Resen Kirke,56.5894276,9.034557,"Resen Kirke, Kirkevej, 7800 Skive, Denmark"
Roskilde Domkirke,55.6426436,12.0804349,"Roskilde Cathedral, Domkirkepladsen, 4000 Roskilde, Denmark"
Roskilde Domkirke,55.6426436,12.0804349,"Roskilde Cathedral, Domkirkepladsen, 4000 Roskilde, Denmark"
Skørping Kirke,56.8628213,9.8891531,"Skørping Kirke, Gammel Skørpingvej, 9520 Skørping, Denmark"
Tamdrup Kirke,55.8918793,9.7383183,"Tamdrup Kirke, Bisgårdsvej, Horsens, Denmark"
Udbyneder Kirke,56.6591548,10.2344268,"Udbyneder Kirke, Udbynedervej, 8970 Havndal, Denmark"
Vester Nebel Kirke,55.5412518,8.5425798,"Vester Nebel Kirke, Stokbrovej, Vester Nebel, Denmark"
Volling Kirke,56.6006995,8.8793545,"Volling Kirke, Nyholmvej, Skive Municipality, Denmark"
Øster Nykirke Kirke,NA,NA,NA
Ål Kirke,55.6314303,8.2814048,"Aal Kirke, Kirkegade, 6840 Oksbøl, Denmark"
"Aalborg, Vor Frue Kirke",57.0463634,9.9239599,"Church of Our Lady, Aalborg, Vor Frue Plads, 9000 Aalborg, Denmark"
Ajstrup Kirke,57.1797975,9.9655677,"Ajstrup Kirke, Ajstrupvej, 9381 Sulsted, Denmark"
Askov Kirke,55.4719459,9.10189,"Askov kirke, Askov, Region of Southern Denmark, Denmark"
Bislev Kirke,56.945319,9.6092294,"Bislev Kirke, Halkærvej, 9240 Nibe, Denmark"
Ejdrup Kirke,56.889617200000004,9.5354485,"Ejdrup Kirke, Ejdrupvej, Aalborg Municipality, Denmark"
Elev Kirke,56.2416502,10.1977626,"Elev Kirke, Høvej, 8520 Lystrup, Denmark"
Estvad Kirke,56.5289608,8.9683541,"Estvad Kirke, Flyndersøvej, Skive Municipality, Denmark"
Finderup Kirke,56.412219,9.2878399,"Finderup Kirke, Finderupvej, Viborg Municipality, Denmark"
Gangsted Kirke,55.9257454,9.9963196,"Gangsted Kirke, Kråsigvej, 8732 Hovedgård, Denmark"
Hogager Kirke,56.3716426,8.8526937,"Hogager Kirke, Langgade, Holstebro Municipality, Denmark"
Holstebro Valgmenighedskirke,56.3605947,8.6137448,"Holstebro Valgmenighedskirke, Skolegade, 7500 Holstebro, Denmark"
Hygum Kirke,55.3531796,8.9781611,"Sønder Hygum Kirke, Ribevej, Sønder Hygum, Denmark"
Kollund Kirke,54.8415864,9.4528354,"Kollund Kirke, Drosselvej, 6340 Kruså, Denmark"
Kousted Kirke,56.5140942,9.9018808,"Kousted Kirke, Sognevej, 8990 Fårup, Denmark"
"København, Kingos Kirke",55.700921,12.5453088,"Kingos Kirke, Bragesgade, 2200 København N, Denmark"
Lellinge Kirke,55.4673296,12.1111596,"Lellinge Kirke, Ringstedvej, 4623 Lille, Denmark"
Lemvig Kirke,56.5500171,8.309248,"Lemvig Kirke, Torvet, 7620 Lemvig, Denmark"
Løjt Kirke,55.0911224,9.4629587,"Løjt Kirke, Løjt Storegade, Løjt Kirkeby, Denmark"
Nørre Alslev Kirke,54.8984686,11.8733568,"Nørre Alslev Kirke, Nørre Alslev Langgade, 4840 Nørre, Denmark"
Nørre Lyndelse Kirke,55.303753,10.3960021,"Nørre Lyndelse Kirke, Lumbyvej, 5260 Odense S, Denmark"
Nørre Nissum Kirke,56.5569407,8.408565,"Nørre Nissum Kirke, Kirkebyen, Nørre Nissum, Denmark"
"Odense, Sct. Knuds Kirke",NA,NA,NA
"Roskilde, Sct. Jørgensbjerg Kirke",NA,NA,NA
Rønnebæk Kirke,55.216448,11.8114325,"Rønnebæk Kirke, Bystævnet, 4700 Næstved, Denmark"
Sahl Kirke,56.4844689,8.8388067,"Sahl Kirke, Agerbækvej, 7830 Vinderup, Denmark"
Selsø Kirke,55.7436113,12.0061122,"Selsø Kirke, Selsøvej, 4050 Skibby, Denmark"
Skellebjerg Kirke,55.5334925,11.4439285,"Skellebjerg Kirke, Tåderupvej, 4293 Dianalund, Denmark"
Spentrup Kirke,56.5401035,10.0331754,"Spentrup Kirke, Hastrupvej, 8981 Spentrup, Denmark"
Søvind Kirke,55.8924191,10.0043088,"Søvind Kirke, Kirkebjergvej, Søvind, Denmark"
Tulstrup Kirke,56.0280935,10.14452,"Tulstrup Kirke, Tulstrupvej, 8320 Mårslet, Denmark"
Tvis Kirke,56.3209473,8.7109535,"Tvis Kirke, Hovedgaden, Tvis, Denmark"
Vandborg Kirke,56.5451604,8.1744091,"Vandborg Kirke, Kirkensgårdvej, Lemvig Municipality, Denmark"
Vester Hjermitslev Kirke,57.292095,9.7548321,"Vester Hjermitslev Kirke, Ingstrupvej, Vester Hjermitslev, Denmark"
Vester Kirke,55.9239125,9.3491837,"Vester Kirke, Vester Møllevej, Vejle Municipality, Denmark"
Vigsø Kirke,57.0952693,8.7117488,"Vigsø Kirke, Vigsøvej, Thisted Municipality, Denmark"
Viskum Kirke,56.45066,9.5882958,"Viskum, Viskum Kirke, Østervangsvej, 8830 Tjele, Denmark"
Voldum Kirke,56.3643989,10.1703601,"Voldum Kirke, Sophie Amalie Vej, Voldum, Denmark"
Ødsted Kirke,55.6622285,9.3947502,"Ødsted Kirke, Vesterbyvej, 7182 Bredsten, Denmark"
Ørsted Kirke,55.332547,10.0566758,"Ørsted Kirke, Christian Richardts Vej, 5560 Aarup, Denmark"
Øster Egesborg Kirke,55.0409425,12.0192037,"Øster Egesborg Kirke, Øster Egesborgvej, 4773 Stensved, Denmark"
Øster Hassing Kirke,57.0686633,10.1943611,"Øster Hassing Kirke, Houvej, 9362 Gandrup, Denmark"
Allerslev Kirke,55.081248,12.0373973,"Allerslev Kirke, Kirkestræde, 4720 Præstø, Denmark"
Alslev Kirke,55.2900724,12.2030168,"Alslev Kirke, Alslevvej, 4653 Karise, Denmark"
Arnborg Kirke,56.0032784,8.9683226,"Arnborg Kirke, Gammel Skarrildvej, Arnborg, Denmark"
Østerby Kirke,57.3052796,11.1348625,"Østerby Kirke, Østerbyvejen, Østerby Havn, Denmark"
Bogense Kirke,55.5674054,10.0875334,"Sct. Nikolaj Kirke, Kirkestræde, 5400 Bogense, Denmark"
Bording Kirke,56.1678816,9.2482037,"Bording Kirke, Klochsvej, 7441 Bording, Denmark"
Brøndum Kirke,56.5904692,8.9154614,"Brøndum Kirke, Brøndum Kirkevej, Hvidbjerg, Denmark"
Byrum Kirke,57.2548822,10.9990606,"Byrum Kirke, Kirkestien, 9940 Læsø, Denmark"
Børglum Kirke,57.3642227,9.8436866,"Børglum Kirke, Børglum Kirkevej, Hjørring Municipality, Denmark"
Døstrup Kirke,55.1149207,8.7994117,"Døstrup Kirke, Genforeningsvej, Døstrup, Denmark"
Daugård Kirke,55.7328307,9.7192817,"Daugård Kirke, Svends Møllevej, 8721 Daugård, Denmark"
Diernæs Kirke,55.1058896,10.2941354,"Diernæs Kirke, Kirkemarken, 5600 Faaborg, Denmark"
"Esbjerg, Grundtvigs Kirke",NA,NA,NA
Fanefjord Kirke,54.9012807,12.151162,"Fanefjord Kirke, Fanefjord Kirkevej, 4792 Askeby, Denmark"
Fiskbæk Kirke,56.5121477,9.3099434,"Fiskbæk Kirke, Skivevej, 8831 Løgstrup, Denmark"
Fredensborg Slotskirke,55.9826125,12.3967942,"Fredensborg Slotskirke, Jagtallèen, 3480 Fredensborg, Denmark"
Frederikshavn Kirke,57.4404978,10.5383434,"Frederikshavn Kirke, Havnepladsen, 9900 Frederikshavn, Denmark"
Gauerslund Kirke,55.6479718,9.6621141,"Gauerslund Kirke, Korsdalsvej, 7080 Børkop, Denmark"
Gedsted Kirke,56.6879572,9.334086,"Gedsted Kirke, Stadionvej, 9631 Gedsted, Denmark"
Gislev Kirke,55.2213831,10.6032426,"Gislev Kirke, Lykkesholmsvej, 5854 Gislev, Denmark"
Gjern Kirke,56.2300912,9.7402809,"Gjern Kirke, Sportsvej, 8883 Gjern, Denmark"
Græse Kirke,55.8611607,12.0994305,"Græse Kirke, Kirkestræde, 3600 Frederikssund, Denmark"
Gudum Kirke,56.9501164,10.0687056,"Gudum Kirke, Louisendalvej, Vaarst, Denmark"
Haldum Kirke,56.2795238,10.0428723,"Haldum Kirke, Haldumvej, 8382 Hinnerup, Denmark"
Hansted Kirke,55.8940571,9.844425,"Hansted Kirke, Stængervej, 8700 Horsens, Denmark"
Harndrup Kirke,55.4645495,10.0187429,"Harndrup Kirke, Vindebjergvej, 5463 Harndrup, Denmark"
Helgenæs Kirke,56.1329687,10.5095399,"Helgenæs Kirke, Brøsbjergvej, Syddjurs Municipality, Denmark"
Helligsø Kirke,56.7016888,8.3471392,"Helligsø Kirke, Vestervej, Thisted Municipality, Denmark"
Hem Kirke,56.5943908,8.9592947,"Hem Kirke, Krarupvej, Hem, Denmark"
Herlufsholm Kirke,55.2460393,11.748899,"Herlufsholm Kirke, Herlufsholm Alle, 4700 Næstved, Denmark"
"Hirtshals, Emmersbæk Kirke",NA,NA,NA
Hjerpsted Kirke,55.0200544,8.6491832,"Hjerpsted Kirke, Vestkystvej, Tønder Municipality, Denmark"
Holstebro Kirke,56.3592901,8.6163081,"Holstebro Kirke, Kirkepladsen, 7500 Holstebro, Denmark"
Hornbæk Kirke,56.0913552,12.4584349,"Hornbæk Kirke, Kirkevej, 3100 Hornbæk, Denmark"
Humlebæk Kirke,55.9716685,12.5421015,"Humlebæk Kirke, Gammel Strandvej, 3060 Espergærde, Denmark"
Hundborg Kirke,56.9273518,8.5078655,"Hundborg Kirke, Vorupørvej, 7752 Snedsted, Denmark"
Hurup Kirke,56.7542908,8.425812,"Hurup Kirke, Brandsholmvej, 7760 Hurup, Denmark"
Højst Kirke,55.0011509,9.0400872,"Højst Kirke, Klodsgade, Øster Højst, Denmark"
Hørmested Kirke,57.4612981,10.2472175,"Hørmested Kirke, Hørmestedvej, 9870 Sindal, Denmark"
Karlslunde Kirke,55.5713348,12.2225648,"Karlslunde Kirke, Hovedgaden, 2690 Karlslunde, Denmark"
Kerteminde Valgmenighedskirke,NA,NA,NA
Krønge Kirke,54.727463,11.5105356,"Krønge Kirke, Krøngevej, 4960 Holeby, Denmark"
