placename,oc_lat,oc_lng,oc_formatted
Særløse Kirke,55.5777,11.9168212,"Særløse Kirke, Særløsevej, Lejre Kommune, Denmark"
Søby Kirke,54.9385696,10.2568185,"Søby Kirke, Langebro, 5985 Søby, Denmark"
Sønder Omme Kirke,55.8391788,8.8924176,"Sønder Omme Kirke, Kirke Alle, 7260 Sønder, Denmark"
Tanderup Kirke,55.3664426,9.9067122,"Tanderup Kirke, Tanderupvej, Middelfart Municipality, Denmark"
Terslev Kirke,55.3758126,11.9641928,"Terslev Kirke, Terslev Bygade, 4690 Haslev, Denmark"
Them Kirke,56.0945586,9.5493452,"Them Kirke, Silkeborgvej, 8653 Them, Denmark"
Thisted Kirke,56.9546505,8.6891269,"Thisted Kirke, Vestergade, Thisted, Denmark"
Thisted Kirke,56.9546505,8.6891269,"Thisted Kirke, Vestergade, Thisted, Denmark"
Thyrsting Kirke,NA,NA,NA
Tjæreby Kirke,55.2469138,11.3601784,"Tjæreby Kirke, Kirkevej, Slagelse Municipality, Denmark"
Tornbjerg Kirke,55.3701406,10.45753,"Tornbjerg Kirke, Skærmhatten, 5220 Odense SØ, Denmark"
Tranderup Kirke,54.8723457,10.3573047,"Tranderup Kirke, Tranderupvej, 5970 Ærøskøbing, Denmark"
Tullebølle Kirke,54.959176,10.8023658,"Tullebølle Kirke, Kirkesti, Tullebølle, Denmark"
Tyrsted Kirke,55.8270505,9.853823,"Tyrsted kirke, Tyrsted, Horsens, Central Denmark Region, Denmark"
Tyrstrup Kirke,55.352494,9.4851164,"Tyrstrup Kirke, Gammel Kongevej, 6070 Christiansfeld, Denmark"
Tystrup Kirke,55.3616058,11.5639912,"Tystrup Kirke, Bakkegårdsvej, 4250 Fuglebjerg, Denmark"
Tølløse Kirke,55.6147241,11.7453483,"Tølløse Kirke, Nybyvej, 4340 Tølløse, Denmark"
Tønder Kirke,55.0569946,8.9504227,"Løgumkloster Kirke, Refugievej, 6240 Løgumkloster, Denmark"
Tønning Kirke,55.9884822,9.6617801,"Tønning Kirke, Skolebakken, 8740 Brædstrup, Denmark"
Tårs Kirke,57.3843216,10.1162064,"Tårs Kirke, Bredgade, 9830 Tårs, Denmark"
Udlejre Kirke,55.7938922,12.1531337,"Udlejre Kirke, Ørnebjergvej, 3650 Ølstykke, Denmark"
Ullerup Kirke,54.9656575,9.6626201,"Ullerup Kirke, Kirkepold, Ullerup, Denmark"
Understed Kirke,57.3698911,10.4597835,"Understed Kirke, Understedvej, Frederikshavn Municipality, Denmark"
Vadum Kirke,57.1130742,9.8854203,"Vadum Kirke, Brorholtvej, 9430 Vadum, Denmark"
Vallekilde Kirke,55.7423143,11.4229541,"Vallekilde Kirke, Kirkestien, 4534 Hørve, Denmark"
Frederikssund Kirke,55.8386381,12.0692247,"Frederikssund Kirke, Ventevej, 3600 Frederikssund, Denmark"
Vejlby Kirke,56.1951459,10.2118118,"Vejlby Kirke, Filosofgangen, 8240 Risskov, Denmark"
"Vejle, Sct. Johannes Kirke",55.7148279,9.5237005,"Sankt Johannes Kirke, Johannesgade, 7100 Vejle, Denmark"
"Vejle, Sct. Nicolai Kirke",NA,NA,NA
Venø Kirke,56.5505887,8.6236326,"Venø Kirke, Klitten, Venø By, Denmark"
Vester Assels Kirke,56.7012276,8.6471249,"Vester Assels Kirke, Hovedstrædet, 7970 Redsted, Denmark"
Vester Starup Kirke,55.646372,8.8068261,"Vester Starup Kirke, Smedebakken, 6753 Agerbæk, Denmark"
Viborg Domkirke,56.4505215,9.4125336,"Viborg Cathedral, Domkirkestræde, 8800 Viborg, Denmark"
"Viborg, Houlkær Kirke",56.4626239,9.4502706,"Houlkær Kirke, Gymnasiestien, Viborg, Denmark"
Vig Kirke,55.8509784,11.5837477,"Vig Kirke, Ellekildevej, 4560 Vig, Denmark"
Vilslev Kirke,55.3959129,8.7026779,"Vilslev Kirke, Vesterbyvej, 6771 Gredstedbro, Denmark"
Vinding Kirke,55.67098,9.5731056,"Vinding Kirke, Svinholtvej, 7100 Vejle, Denmark"
Vindinge Kirke,55.6254769,12.1376011,"Vindinge Kirke, Ved Kirken, Vindinge, Denmark"
Virklund Kirke,56.1300955,9.557744,"Virklund Kirke, Digevangsvej, 8653 Them, Denmark"
Vivild Kirke,56.4828385,10.4465737,"Vivild Kirke, Langgade, 8961 Allingåbro, Denmark"
Voer Kirke,56.5219326,10.2683728,"Voer Kirke, Voer Færgevej, Voer, Denmark"
Voerladegård Kirke,56.0260863,9.7355548,"Voerladegård Kirke, Kirkestien, Voerladegård, Denmark"
Vokslev Kirke,56.9664423,9.6838795,"Vokslev Kirke, Hobrovej, Aalborg Municipality, Denmark"
Vorbasse Kirke,55.6315874,9.0874539,"Vorbasse Kirke, Kirkegade, 6623 Vorbasse, Denmark"
Vråby Kirke,55.3442835,12.1612033,"Vråby Kirke, Lerskovvej, Stevns Municipality, Denmark"
Ølby Kirke,55.4816747,12.1768295,"Ølby Kirke, Ølbycenter, 4600 Køge, Denmark"
Ølsted Kirke,55.9213099,12.0731426,"Ølsted Kirke, Hovedgaden, 3310 Ølsted, Denmark"
Ørum Kirke,55.7388409,9.7448411,"Ørum Kirke, Kirkebuen, 8721 Daugård, Denmark"
Øster Brønderslev Kirke,57.2483323,9.9995351,"Øster Brønderslev Kirke, Elmevej, Øster Brønderslev, Denmark"
Øster Hæsinge Kirke,55.1814115,10.3148142,"Øster Hæsinge Kirke, Øster Hæsingevej, Faaborg-Midtfyn Municipality, Denmark"
Øster Snede Kirke,55.7969449,9.6408497,"Øster Snede Kirke, Lindvedvej, Øster Snede, Denmark"
"Aalborg, Ansgars Kirke",NA,NA,NA
"Aalborg, Ansgars Kirke",NA,NA,NA
"Aalborg, Budolfi Kirke",57.0478973,9.9194378,"Budolfi Church, Gammeltorv, 9000 Aalborg, Denmark"
Aarhus Domkirke,56.1568544,10.2106463,"Aarhus Cathedral, Store Torv, 8000 Aarhus C, Denmark"
"Aarhus, Sct. Johannes Kirke",NA,NA,NA
"Aarhus, Sct. Markus Kirke",NA,NA,NA
Åstrup Kirke,54.8479084,12.0842448,"Aastrup Kirke, Kirkebakken, 4871 Horbelev, Denmark"
Åstrup Kirke,54.8479084,12.0842448,"Aastrup Kirke, Kirkebakken, 4871 Horbelev, Denmark"
Agerø Kirke,56.712833,8.57535,"Agerø Kirke, Agerøvej, 7960 Karby, Denmark"
Ajdt Kirke,NA,NA,NA
Allerup Kirke,55.3376998,10.4718287,"Allerup Kirke, Allerup Bygade, 5220 Odense SØ, Denmark"
Allindemagle Kirke,55.5031933,11.7177167,"Allindemagle Kirke, Øvej, 4370 Store, Denmark"
Almind Kirke,55.5657725,9.488677,"Almind Kirke, Vestergade, 6051 Almind, Denmark"
Als Kirke,56.7552938,10.2943558,"Als Kirke, Hulvejen, Als, Denmark"
Anholt Kirke,56.7034952,11.5443611,"Anholt Kirke, Østervej, 8592 Anholt, Denmark"
Ans Kirke,56.307355,9.5929403,"Ans Kirke, Østre Langgade, 8643 Ans, Denmark"
Arrild Kirke,55.149209,8.9615614,"Arrild Kirke, Krovej, Arrild, Denmark"
Assens Kirke,56.6798529,10.0625575,"Assens Kirke, Kønigsfeldtsvej, Assens, Denmark"
Astrup Kirke,54.8479084,12.0842448,"Aastrup Kirke, Kirkebakken, 4871 Horbelev, Denmark"
Avlum Kirke,NA,NA,NA
Ballerup Kirke,55.7322392,12.3613458,"Ballerup Kirke, Centrumgaden, 2750 Ballerup, Denmark"
Barrit Kirke,55.7203221,9.8783875,"Barrit Kirke, Kirkebro, 7150 Barrit, Denmark"
Bedsted Kirke,55.0584184,9.1057096,"Bedsted Kirke, Kirkegade, Bedsted, Denmark"
Blåhøj Kirke,55.8514964,9.0155109,"Blåhøj Kirke, Blåhøj Kirkevej, Ikast-Brande Municipality, Denmark"
Bov Kirke,54.8410584,9.3679669,"Bov Kirke, Kirkevej, 6330 Padborg, Denmark"
Brande Kirke,55.9453154,9.125056,"Brande Kirke, Storegade, 7330 Brande, Denmark"
Roholte Kirke,55.1955121,12.0907746,"Roholte Kirke, Vindbyholtvej, Faxe Municipality, Denmark"
Nimtofte Kirke,56.4083232,10.5662251,"Nimtofte Kirke, Ryomgaardvej, 8581 Nimtofte, Denmark"
Bregninge Kirke,54.7051352,11.6880432,"Bregninge Kirke, Grønnegadevej, 4880 Nysted, Denmark"
Bregninge Kirke,54.7051352,11.6880432,"Bregninge Kirke, Grønnegadevej, 4880 Nysted, Denmark"
Brenderup Kirke,55.4805425,9.9809161,"Brenderup Kirke, Kirkevej, 5464 Brenderup, Denmark"
Bryrup Kirke,56.0254094,9.5125305,"Bryrup Kirke, Kirkevej, 8654 Bryrup, Denmark"
Brøndby Strand Kirke,55.6228174,12.4192681,"Brøndby Strand Kirke, Brøndby Strand Centrum, 2660 Brøndby, Denmark"
Brønderslev Kirke,57.2682286,9.9527033,"Brønderslev Kirke, Krogensgade, 9700 Brønderslev, Denmark"
Brørup Kirke,55.5016104,8.9892195,"Brørup Kirke, Esbjergvej, 6650 Brørup, Denmark"
Darum Kirke,55.4309967,8.6472602,"Darum Kirke, Darum Kirkesti, Store Darum, Denmark"
Dejbjerg Kirke,55.999758,8.419676,"Dejbjerg Kirke, Bundsbækvej, 6940 Lem, Denmark"
Egebjerg Kirke,55.8452026,11.6804005,"Egebjerg Kirke, Kirkesti, Egebjerg, Denmark"
Ejstrup Kirke,55.9827066,9.2868632,"Ejstrup Kirke, Stationsvej, 7361 Ejstrupholm, Denmark"
Engestofte Kirke,54.7625007,11.5628612,"Engestofte Kirke, Søvej, Guldborgsund Municipality, Denmark"
Engum Kirke,55.7409095,9.6579356,"Engum Kirke, Engumvej, 7120 Vejle, Denmark"
Everdrup Kirke,55.2014357,11.9568489,"Everdrup Kirke, Kildebakken, 4733 Tappernøje, Denmark"
Reerslev Kirke,55.622625,12.1854827,"Reerslev Kirke, Brandhøjgårdsvej, 4030 Tune, Denmark"
Fjeldsø Kirke,NA,NA,NA
Flejsborg Kirke,56.866314,9.3423401,"Flejsborg Kirke, Gattenvej, Vesthimmerland Municipality, Denmark"
Foldby Kirke,56.2505585,10.0215671,"Foldby Kirke, Kirkevej, 8471 Sabro, Denmark"
Folding Kirke,55.4566053,9.0129742,"Folding Kirke, Folding Kirkevej, 6650 Brørup, Denmark"
Fraugde Kirke,55.3541168,10.4877044,"Fraugde Kirke, Fraugdevej, 5220 Odense SØ, Denmark"
Fruering Kirke,56.0336975,9.9916599,"Fruering Kirke, Fruering Kirkevej, Fruering, Denmark"
Fræer Kirke,56.8588076,9.9306394,"Fræer Kirke, Fræervej, 9520 Skørping, Denmark"
Fuglebjerg Kirke,55.3056567,11.5484873,"Fuglebjerg Kirke, Næstvedvej, 4250 Fuglebjerg, Denmark"
Føvling Kirke,55.9362777,9.6054466,"Føvling Kirke, Føvlingvej, 8740 Brædstrup, Denmark"
Fårevejle Kirke,55.8025332,11.4426528,"Fårevejle Kirke, Enghavevej, 4540 Fårevejle, Denmark"
Gentofte Kirke,55.7500174,12.5417597,"Gentofte Kirke, Gentoftegade, 2820 Gentofte, Denmark"
Gerding Kirke,56.8937287,9.954208,"Gerding Kirke, Sankt Jørgens Vej, Rebild Municipality, Denmark"
Gislinge Kirke,55.7350764,11.5445781,"Gislinge Kirke, Kirkevej, 4532 Gislinge, Denmark"
Gjesing Kirke,55.5077352,8.4474924,"Gjesing Kirke, Ulvevej, 6715 Esbjerg N, Denmark"
Gjesing Kirke,55.5077352,8.4474924,"Gjesing Kirke, Ulvevej, 6715 Esbjerg N, Denmark"
Gladsaxe Kirke,55.7394234,12.4726028,"Gladsaxe Kirke, Gladsaxe Møllevej, 2860 Søborg, Denmark"
Glim Kirke,55.6073337,12.0268205,"Glim Kirke, Glimvej, Øm, Denmark"
Gludsted Kirke,56.0323116,9.3089576,"Gludsted Kirke, Smedebækvej, 7361 Ejstrupholm, Denmark"
Gosmer Kirke,55.9301348,10.1923553,"Gosmer Kirke, Troldbjergvej, 8300 Odder, Denmark"
Granslev Kirke,56.3255848,9.9081449,"Granslev Kirke, Granslevbyvej, Favrskov Municipality, Denmark"
Gredstedbro Kirke,55.3977827,8.7439162,"Gredstedbro Kirke, Kirkegade, 6771 Gredstedbro, Denmark"
Hjarnø Kirke,55.8223028,10.0692138,"Hjarnø Kirke, Østre Kirkevej, Snaptun, Denmark"
Grindsted Kirke,55.7555812,8.9316343,"Grindsted Kirke, Kirkegade, 7200 Grindsted, Denmark"
Grædstrup Kirke,55.9785425,9.5441083,"Grædstrup Kirke, Grædstrupvej, Grædstrup, Denmark"
Græshave Kirke,54.7766563,11.227706,"Græshave Kirke, Skodsebøllevej, 4920 Søllested, Denmark"
Gudum Kirke,56.9501164,10.0687056,"Gudum Kirke, Louisendalvej, Vaarst, Denmark"
Gørding Kirke,55.4825218,8.7945882,"Gørding Kirke, Kirkevej, 6690 Gørding, Denmark"
Haderslev Domkirke,55.2497788,9.4874693,"Haderslev Domkirke, Domkirkepladsen, 6100 Haderslev, Denmark"
Haderslev Domkirke,55.2497788,9.4874693,"Haderslev Domkirke, Domkirkepladsen, 6100 Haderslev, Denmark"
Hagested Kirke,55.7452669,11.6188329,"Hagested Kirke, Nykøbingvej, Hagested, Denmark"
Haslev Kirke,55.3231907,11.9634977,"Haslev Church, Kirkepladsen, 4690 Haslev, Denmark"
Haurvig Kirke,55.9389398,8.1658346,"Haurvig Kirke, Sønder Klitvej, 6960 Hvide, Denmark"
Hellerup Kirke,55.7343515,12.572954,"Hellerup Kirke, Margrethevej, 2900 Hellerup, Denmark"
Hellested Kirke,55.329297,12.2442166,"Hellested Kirke, Bygaden, 4652 Hårlev, Denmark"
Trængstrup Frimenighedskirke,56.841173,9.6569226,"Farsø-Trængstrup Frimenighedskirke, Hyldal Møllevej, 9541 Suldrup, Denmark"
"Helsingør, Kronborg Slotskirke",56.0386932,12.6221653,"Kronborg Slotskirke, Kronborg, 3000 Helsingør, Denmark"
"København, Esajas Kirke",55.6924239,12.5783952,"Esajas Kirke, Upsalagade, 1317 Copenhagen, Denmark"
Hjallerup Kirke,57.1686137,10.1740591,"Hjallerup Kirke, Hjallerupvej, 9320 Hjallerup, Denmark"
Hjardemål Klitkirke,NA,NA,NA
Hjerm Kirke,56.4476314,8.7210605,"Handbjerg Kirke, Øster Hjermvej, 7560 Hjerm, Denmark"
Hjermind Kirke,56.397312,9.6795458,"Hjermind Kirke, Kirkegyden, 8850 Bjerringbro, Denmark"
Hjerting Kirke,55.5257852,8.3568716,"Hjerting Kirke, Hjerting Byvej, 6710 Esbjerg V, Denmark"
Hobro Kirke,56.6370395,9.7943168,"Hobro Kirke, Kirketorvet, 9500 Hobro, Denmark"
Hodsager Kirke,56.314269,8.8540425,"Hodsager Kirke, Kirkestræde, Hodsager, Denmark"
"Holmsland, Nysogn Kirke",NA,NA,NA
Holsted Kirke,55.5122166,8.9138829,"Holsted Kirke, Vestergade, 6670 Holsted, Denmark"
"Holsted, Sct. Peders Kirke",NA,NA,NA
Hoptrup Kirke,55.1849207,9.4590811,"Hoptrup Kirke, Hoptrup Kirkeby, Hoptrup, Denmark"
Hostrup Kirke,55.5744901,8.3664631,"Hostrup Kirke, Hostrupvej, 6852 Billum, Denmark"
Hovborg Kirke,55.605873,8.9425972,"Hovborg Kirke, Høllundvej, 6682 Hovborg, Denmark"
Hover Kirke,56.1430044,8.4112338,"Hover Kirke, Hovervej, Ringkøbing-Skjern Municipality, Denmark"
Hunderup Kirke,55.4365128,8.722276,"Hunderup Kirke, Kirkevej, 6740 Bramming, Denmark"
Hundslund Kirke,55.9152932,10.0491308,"Hundslund Kirke, Langgade, 8350 Hundslund, Denmark"
Hune Kirke,57.2509365,9.6180346,"Hune Kirke, Kirkevej, 9492 Blokhus, Denmark"
Hvedstrup Kirke,55.698843,12.195025,"Hvedstrup Kirke, Hvedstrupvej, 2640 Hedehusene, Denmark"
Hvidbjerg Kirke,56.6527159,8.5271318,"Hvidbjerg Kirke, Kirkegade, 7790 Thyholm, Denmark"
Hvidovre Kirke,55.6570336,12.4725543,"Hvidovre Kirke, Hvidovre Kirkeplads, 2650 Hvidovre, Denmark"
Højby Kirke,55.9126964,11.5996896,"Højby Kirke, Bag Kirken, 4572 Nørre, Denmark"
Højelse Kirke,55.4958146,12.122872,"Højelse Kirke, Højelsevej, 4623 Lille, Denmark"
Hørve Kirke,55.7575195,11.4548361,"Hørve Kirke, Hørve Kirkevej, 4534 Hørve, Denmark"
Høve Valgmenighedskirke,55.293286,11.3730062,"Høve valgmenighedskirke, Sorø Landevej, 4261 Dalmose, Denmark"
"Ikast, Fonnesbæk Kirke",56.1271139,9.1430991,"Fonnesbæk Kirke, O. Vestergaard-Poulsens Allé, 7430 Ikast, Denmark"
Indslev Kirke,55.4629251,9.9214871,"Indslev Kirke, Indslevvej, 5466 Asperup, Denmark"
Dråby Kirke,56.2228935,10.7037305,"Dråby Kirke, Dråby Søvej, 8400 Ebeltoft, Denmark"
Islev Kirke,55.7023136,12.4438239,"Islev Kirke, Slotsherrensvej, 2610 Rødovre, Denmark"
Jernved Kirke,55.4178996,8.7911852,"Jernved Kirke, Kirkebakken, 6771 Gredstedbro, Denmark"
Jorløse Kirke,55.6117634,11.2984807,"Jorløse Kirke, Jorløse Byvej, 4470 Svebølle, Denmark"
Jyderup Kirke,55.6635373,11.4199287,"Jyderup Kirke, Elmevej, 4450 Jyderup, Denmark"
Jyllinge Kirke,55.7517951,12.1048646,"Jyllinge Kirke, Kirkestræde, 4040 Jyllinge, Denmark"
Jægersborg Kirke,55.7602705,12.5432414,"Jægersborg Kirke, Søndersøvej, 2820 Gentofte, Denmark"
Kirke Sonnerup Kirke,55.6507497,11.8258465,"Sonnerup Kirke, Englerupvej, 4060 Kirke, Denmark"
Karlebo Kirke,55.9198107,12.4109893,"Karlebo Kirke, Karlebovej, Karlebo, Denmark"
Karup Kirke,56.3058796,9.1615945,"Karup Kirke, Kirkebakken, 7470 Karup, Denmark"
Kerte Kirke,55.3635544,9.9886183,"Kerte Kirke, Kertevej, 5591 Gelsted, Denmark"
Kerteminde Kirke,55.4492568,10.6583203,"Sankt Laurenti Kirke, Strandgade, 5300 Kerteminde, Denmark"
Klitmøller Kirke,57.0390389,8.5070832,"Klitmøller Kirke, Vangvej, Klitmøller, Denmark"
Klovborg Kirke,55.9329463,9.4999916,"Klovborg Kirke, Skadevej, 8765 Klovborg, Denmark"
"Kolding, Sct. Nicolai Kirke",NA,NA,NA
Kolind Kirke,56.361728,10.5912293,"Kolind Kirke, Kapelvej, 8560 Kolind, Denmark"
Komdrup Kirke,56.8974446,10.086596,"Komdrup Kirke, Komdrupvej, 9293 Kongerslev, Denmark"
Krarup Kirke,55.1650818,10.4143758,"Krarup Kirke, Lydingevej, Krarup, Denmark"
Kregme Kirke,55.9456141,12.0474023,"Kregme Kirke, Hillerødvej, 3310 Ølsted, Denmark"
Kullerup Kirke,55.3178903,10.7031723,"Kullerup Kirke, Ferritslevvej, 5540 Ullerslev, Denmark"
"København, Brorsons Kirke",55.6875189,12.546107,"Brorsons Kirke, Rantzausgade, 1960 Frederiksberg C, Denmark"
"København, Brønshøj Kirke",55.705844,12.4986994,"Brønshøj Kirke, Brønshøj Kirkevej, 2700 Brønshøj, Denmark"
"København, Christians Kirke",55.6723297,12.5871797,"Christian's Church, Strandgade, 1409 Copenhagen, Denmark"
"København, Davids Kirke",55.7070237,12.579147,"Davids Kirke, Koldinggade, 2100 København Ø, Denmark"
"København, Frederiksberg Slotskirke",NA,NA,NA
"København, Grundtvigs Kirke",55.7165904,12.5338637,"Grundtvigs Kirke, På Bjerget, 2400 København NV, Denmark"
"København, Grundtvigs Kirke",55.7165904,12.5338637,"Grundtvigs Kirke, På Bjerget, 2400 København NV, Denmark"
"København, Hans Tausens Kirke",55.6646314,12.5768641,"Hans Tausens Kirke, Halfdansgade, 1562 Copenhagen, Denmark"
"København, Holmens Kirke",55.6766047,12.5836042,"Church of Holmen, Holmens Kanal, 1063 København K, Denmark"
"København, Johannes Døbers Kirke",55.6600038,12.5193235,"Johannes Døbers Kirke, Bryggerivej, 1805 Copenhagen, Denmark"
"København, Kapernaums Kirke",NA,NA,NA
"København, Sct. Johannes Kirke",NA,NA,NA
"København, Sct. Matthæus Kirke",55.6694762,12.548088,"Sankt Matthæus Kirke, Frederiksstadsgade, 1667 København V, Denmark"
"København, Sct. Pauls Kirke",NA,NA,NA
"København, Sct. Petri Kirke",NA,NA,NA
"København, Simeons Kirke",55.6936939,12.5534946,"Simeons Kirke, Sjællandsgade, 2200 København N, Denmark"
"København, Store Magleby Kirke",NA,NA,NA
"København, Vanløse Kirke",55.6904803,12.4818789,"Vanløse Kirke, Ålekistevej, 2720 Vanløse, Denmark"
Allinge Kirke,55.2759614,14.8030821,"Allinge Church, Kirkegade, 3770 Allinge, Denmark"
Allinge Kirke,55.2759614,14.8030821,"Allinge Church, Kirkegade, 3770 Allinge, Denmark"
Asminderød Kirke,55.9684579,12.4083976,"Asminderød Kirke, Asminderødgade, 3480 Fredensborg, Denmark"
Biersted Kirke,57.155899,9.8218656,"Biersted Kirke, Nørhalnevej, 9430 Vadum, Denmark"
Birkerød Kirke,55.8407697,12.4297495,"Birkerød Kirke, Vilhelm la Cours Vej, 3460 Birkerød, Denmark"
Brædstrup Kirke,55.9670905,9.6082083,"Brædstrup Kirke, Kirkegade, 8740 Brædstrup, Denmark"
Dalby Kirke,55.4653735,9.5039428,"Dalby Kirke, Dalbyvej, 6000 Kolding, Denmark"
Dåstrup Kirke,55.555757,12.0114475,"Dåstrup Kirke, Dåstrup Kirkevej, 4130 Viby, Denmark"
Ebeltoft Kirke,56.1946145,10.6758945,"Ebeltoft Kirke, Ebeltoft, Central Denmark Region, Denmark"
"Esbjerg, Zions Kirke",55.4715485,8.4441113,"Zions Kirke, Nygårdsvej, 6700 Esbjerg, Denmark"
Estruplund Kirke,56.5527823,10.3607224,"Estruplund Kirke, Estruplundvej, 8950 Ørsted, Denmark"
Flade Kirke,57.4235805,10.4670269,"Flade Kirke, Flade Kirkevej, 9900 Frederikshavn, Denmark"
Faaborg Kirke,55.0965429,10.2457597,"Helligåndskirken, Klerkegade, 5600 Faaborg, Denmark"
Gesten Kirke,55.5186218,9.1892491,"Gesten Kirke, Gestenvej, 6621 Gesten, Denmark"
Ginnerup Kirke,56.411763,10.7518531,"Ginnerup Kirke, Mastrupvej, Norddjurs Municipality, Denmark"
"Gladsaxe, Stengård Kirke",55.7566183,12.4764762,"Stengård Kirke, Triumfvej, 2880 Bagsværd, Denmark"
Guldbjerg Kirke,55.5369673,10.1390158,"Guldbjerg Kirke, Guldbjergvej, 5400 Bogense, Denmark"
Hald Kirke,56.5544278,10.1068175,"Hald Kirke, Haldvej, 8983 Gjerlev, Denmark"
Havdrup Kirke,55.5515213,12.1568975,"Havdrup Kirke, Præstestræde, 4622 Havdrup, Denmark"
Herlufmagle Kirke,55.3123202,11.7585302,"Herlufmagle Kirke, Spragelsevej, 4160 Herlufmagle, Denmark"
Holbæk Kirke,56.5526856,10.3003584,"Holbæk Kirke, Kastanievej, 8950 Ørsted, Denmark"
Hvidbjerg Kirke,56.6527159,8.5271318,"Hvidbjerg Kirke, Kirkegade, 7790 Thyholm, Denmark"
Hvilsager Kirke,56.3700521,10.3487649,"Hvilsager Kirke, Kirkebakken, 8544 Mørke, Denmark"
Klarup Kirke,57.0116233,10.0585145,"Klarup Kirke, Klarup Kirkevej, 9270 Klarup, Denmark"
Krummerup Kirke,55.2995401,11.5105381,"Kirstensminde, Krummerup Kirke, Krummerupvej, 4250 Fuglebjerg, Denmark"
"København, Frederiksholm Kirke",55.6507268,12.5341058,"Frederiksholm Kirke, Hf. Frem, 2450 København SV, Denmark"
"København, Nazaret Kirke",55.6973952,12.5751432,"Nazaret Kirke, Ryesgade, 1352 København K, Denmark"
"København, Sct. Thomas Kirke",NA,NA,NA
Lille Værløse Kirke,NA,NA,NA
Nykøbing Falster Kirke,54.7800608,11.8708682,"Nordre Kirke, Hammerlodden, 4800 Nykøbing, Denmark"
"Odense, Gråbrødre Klosterkirke",55.3969611,10.3858975,"Gråbrødre Klosterkirke, Lille Gråbrødrestræde, 5000 Odense C, Denmark"
Roskilde Domkirke,55.6426436,12.0804349,"Roskilde Cathedral, Domkirkepladsen, 4000 Roskilde, Denmark"
Lillebrænde Kirke,54.8792658,11.974628,"Lillebrænde Kirke, Teglbrændervej, Guldborgsund Municipality, Denmark"
Seden Kirke,55.4287841,10.4333885,"Seden Kirke, Mindelundsvej, 5240 Odense NØ, Denmark"
Sennels Kirke,56.9654476,8.7947129,"Sennels Kirke, Sennelsvej, Sennels, Denmark"
Simmelkær Kirke,56.2700112,8.9960756,"Simmelkær Kirke, Hodsagervej, Simmelkær, Denmark"
Skanderup Kirke,55.4674695,9.3150668,"Skanderup Kirke, Kirkebyen, 6640 Lunderskov, Denmark"
Skjød Kirke,56.3000402,9.9301839,"Skjød Kirke, Skræddergyden, Favrskov Municipality, Denmark"
Smerup Kirke,55.2837392,12.231355,"Smerup Kirke, Smerupvej, 4653 Karise, Denmark"
Snejbjerg Kirke,56.1339659,8.9057042,"Snejbjerg Kirke, Bjergkvarteret, Herning Municipality, Denmark"
Svostrup Kirke,56.2250395,9.6660589,"Svostrup Kirke, Allinggårdsvej, Silkeborg Municipality, Denmark"
Tilst Kirke,56.19297,10.1113437,"Tilst Kirke, Bysmedevej, 8381 Tilst, Denmark"
Timring Kirke,56.1760673,8.7448362,"Timring Kirke, Møltrupvej, 7480 Vildbjerg, Denmark"
Nørager Kirke,56.4794953,10.5044204,"Nørager Kirke, Skovgårdevej, Nørager, Denmark"
Vallekilde Valgmenighedskirke,55.744395,11.4279237,"Korskirken, Triersvej, 4534 Hørve, Denmark"
Vejrup Kirke,55.5206689,8.78456,"Vejrup Kirke, Vejrup Storegade, 6690 Gørding, Denmark"
Vester Broby Kirke,55.3801948,11.6208802,"Vester Broby Kirke, Strandvejen, Sorø Municipality, Denmark"
Vrejlev Kirke,57.3622461,10.0026495,"Vrejlev Kirke, Vrejlev Kloster, Poulstrup, Denmark"
Øls Kirke,56.6191097,9.72173,"Øls Kirke, Kirkevej, Mariagerfjord Municipality, Denmark"
Øster Vandet Kirke,56.9960043,8.6211701,"Øster Vandet Kirke, Klitmøllervej, 7700 Thisted, Denmark"
Ågerup Kirke,55.6632811,11.7632827,"Ågerup Kirke, Ågerupvej, 4390 Vipperød, Denmark"
Ågård Frimenighedskirke,55.5848488,9.4234075,"Ågård Frimenighedskirke, Kirkebakken, Ågård, Denmark"
"Aalborg, Sct. Markus Kirke",57.0432646,9.9427259,"Sct. Markus Kirke, Sjællandsgade, 9000 Aalborg, Denmark"
Åle Kirke,55.8875594,9.5651674,"Aale Kirke, Aale Bygade, 8763 Rask, Denmark"
"Aarhus, Brabrand Kirke",56.1517949,10.1014322,"Brabrand Kirke, Engdalsvej, 8220 Brabrand, Denmark"
"Aarhus, Vor Frue Kirke",56.1515244,10.2043918,"Vor Frue Kirke, Ryesgade, 8000 Aarhus C, Denmark"
Års Kirke,56.8050141,9.5139769,"Aars Kirke, Kirkeplads, 9600 Aars, Denmark"
As Kirke,55.7598745,10.0189135,"As Kirke, Kirkholm, Central Denmark Region, Denmark"
Askø Kirke,54.8956804,11.492138,"Askø Kirke, Askø Kirkevej, 4942 Askø, Denmark"
Badskær Kirke,57.2958713,10.3985936,"Badskær Kirke, Ålborgvej, 9352 Dybvad, Denmark"
Bejsnap Kirke,55.7890656,8.694997,"Bejsnap Kirke, Grindstedvej, Varde Municipality, Denmark"
Bjergby Kirke,57.5147778,10.0475039,"Bjergby Kirke, Træholtvej, Bjergby, Denmark"
