constructionyear;locality;organbuilder;architect;stopsnumber;manualsnumber;pedals
2001;Sønder Tranders Kirke ;Bruno Christensen & Sønner;Poul Brøggers Arkitektfirma v/ Erik Sørensen [Iflg. annoncetekst i Menighdsrådenes Blad 2002].;18;2;Pedal
2002;Vester Skerninge Kirke ;Th. Frobenius & Sønner;;14;2;Pedal
1974;Aalborg, Hans Egedes Kirke ;Marcussen & Søn;;24;2;Pedal
1962;Aarhus, Fredens Kirke ;Frederiksborg Orgelbyggeri;;28;3;Pedal
2000;Adslev Kirke ;Th. Frobenius & Sønner;;10;2;Pedal
2001;Balling Kirke ;Bruno Christensen & Sønner;Arkitekterne, Thisted.;12;2;Pedal
2000;Bedsted Kirke ;Marcussen & Søn;Hans Lund.;15;2;Pedal
1975;Bovense Kirke ;Th. Frobenius & Sønner;Knud, Erik og Ebbe Lehn Petersen.;7;1;Pedal
2000;Bramdrup Kirke ;Marcussen & Søn;Birch & Svenning.;11;2;Pedal
2000;Bølling Kirke ;Bruno Christensen & Sønner;Ib Lydholm.;10;2;Pedal
2000;Drejø Kirke ;Th. Frobenius & Sønner;;4;1;Anhangspedal
2000;Emb Kirke ;Gunnar Fabricius Husted;> Jørgen Ussing Bømler.;7;1;Pedal
2000;Farendløse Kirke ;Jensen & Thomsen;H. Flye Jensen. [Iflg. Dagbladet, Ringsted 4. maj 2000].;10;2;Pedal
2001;Grenå Kirke ;Jensen & Thomsen;Alan Havsteen-Mikkelsen;34;3;Pedal
1970;Hareskov Kirke ;Th. Frobenius & Co;;11;2;Pedal
2000;Holte, Ny Holte Kirke ;P.G. Andersen & Bruhn;> Rolf Schütze []https://www.kulturarv.dk/kid/VisKunstner.do?kunstnerId=10469;31;3;Pedal
1967;Hornborg Kirke ;Marcussen & Søn;Esben Klint.;7;1;Pedal
1884;Horsens Hospitalskirke ;Frederik Nielsen;;6;1;Pedal
1977;Horsens, Vor Frelsers Kirke ;Th. Frobenius & Sønner;Inger & Johannes Exner [Iflg. medd. fra orgelbyggeriet 1978].;41;3;Pedal
2000;Jystrup Kirke ;P.G. Andersen & Bruhn;;9;2;Pedal
2000;Kirke Helsinge Kirke ;P.G. Andersen & Bruhn;Mogens Andersen.;13;2;Pedal
2000;Kollund Kirke ;Bruno Christensen & Sønner;Ebbe Lehn Petersen;14;2;Pedal
1974;København, Kastrup Kirke;Th. Frobenius & Sønner;;24;2;Pedal
2000;Køge Kirke;Marcussen & Søn;Karsten Vibild.;10;2;Pedal
2000;Resen Kirke ;Jensen & Thomsen;Alan Havsteen-Mikkelsen. [Iflg. annonce fra orgelbyggeriet].;10;2;Pedal
2000;Roskilde Domkirke;Marcussen & Søn;;15;2;Pedal
2000;Roskilde Domkirke;Marcussen & Søn;;4;1;(Intet Pedal)
2000;Skørping Kirke ;Gunnar Fabricius Husted;Alan Havsteen-Mikkelsen. [Iflg. meddelelse fra orgelbyggeriet 2001].;10;2;Pedal
1974;Tamdrup Kirke ;Marcussen & Søn;;15;2;Pedal
2000;Udbyneder Kirke ;Bruno Christensen & Sønner;Vilhelmsen, Marxen og Bech-Jensen.;13;2;Pedal
2000;Vester Nebel Kirke ;P.G. Andersen & Bruhn;;12;2;Pedal
1967;Volling Kirke ;Marcussen & Søn;;6;1;Pedal
2000;Øster Nykirke Kirke ;Th. Frobenius & Sønner;Birch & Svenning;11;2;Pedal
1961;Ål Kirke ;Th. Frobenius & Co;;13;2;Pedal
1960;Aalborg, Vor Frue Kirke;Marcussen & Søn;;5;1;(Intet Pedal)
1999;Ajstrup Kirke ;Th. Frobenius & Sønner;Øjvind Jørgensen;11;2;Pedal
1999;Askov Kirke ;Jensen & Thomsen;Alan Havsteen-Mikkelsen [iflg. medd. fra orgelbyggeriet].;10;2;Pedal
1910;Bislev Kirke ;I. Starup;;8;1;Pedal
1967;Ejdrup Kirke ;I. Starup & Søn;;9;2;Pedal
1998;Elev Kirke ;Bruno Christensen & Sønner;> Jan Smærup [iflg. meddelelse fra orgelbyggeriet].;10;2;Pedal
1978;Estvad Kirke ;P. Bruhn & Søn;Orgelbyggeriet [medd. af dette 1979].;9;2;Pedal
1999;Finderup Kirke ;Bruno Christensen & Sønner;Arkitekterne, Thisted v/ Ib Lydholm.;9;2;Pedal
1976;Gangsted Kirke ;Marcussen & Søn;;5;1;Pedal
1986;Hogager Kirke ;P. Bruhn & Søn;Orgelbyggeriet.;7;1;Pedal
1999;Holstebro Valgmenighedskirke ;Th. Frobenius & Sønner;;15;2;Pedal
1972;Hygum Kirke ;P. Bruhn;;6;1;Pedal
1971;Kollund Kirke ;Jensen & Thomsen;;5;1;Pedal
1999;Kousted Kirke ;Marcussen & Søn;Jacob Blegvad Arkitektkontor.;6;1;Pedal
1999;København, Kingos Kirke;Marcussen & Søn;;21;2;Pedal
1998;Lellinge Kirke ;Marcussen & Søn;Keld Wohlert.;14;2;Pedal
1999;Lemvig Kirke ;P.G. Andersen & Bruhn;Ib Lydholm.;30;2;Pedal
1999;Løjt Kirke;Marcussen & Søn;Vilhelmsen, Marxen og Bech-Jensen.;10;2;Pedal
