constructionyear;locality;organbuilder;architect;stopsnumber;manualsnumber;pedals
1923;Gudumholm Kirke ;Th. Frobenius & Co;;6;1;(Intet Pedal)
1978;Hals Kirke ;Bruno Christensen & Sønner;;14;2;Pedal
1996;Hammelev Kirke ;Marcussen & Søn;;12;2;Pedal
1971;Hammer Kirke ;Jydsk Orgelbyggeri;Vinther & Roldsgaard.;4;1;Anhangspedal
1920;Hellebæk Kirke ;Chr. Winther & Th. Frobenius;;8;2;Pedal
1967;Hellum Kirke ;Jydsk Orgelbyggeri;;5;1;Pedal
1998;Helsingør, Sct. Mariæ Kirke ;Marcussen & Søn;;30;3;Pedal
1968;Hem Kirke ;Jydsk Orgelbyggeri;;6;1;Pedal
1963;Herlev Kirke ;I. Starup & Søn;Aage Herløw.;10;2;Pedal
1971;Herlev, Lindehøj Kirke ;P. Bruhn;Holger Jensen.;14;2;Pedal
1946;Hampen Kirke ;Th. Frobenius & Co;;7;1;Pedal
1987;Hillerslev Kirke ;Th. Frobenius & Sønner;Lars Mindedal. Farvekonsulent: Jens Johansen.;11;2;Pedal
1972;Hillerød, Frederiksborg Slotskirke ;Poul-Gerhard Andersen's Orgelbyggeri;> Se noter.;38;3;Pedal
1864;Hillerød, Frederiksborg Slotskirke;Marcussen & Søn;;25;2;Pedal
1976;Hjortlund Kirke ;P. Bruhn & Søn;Arkitekter: Rolf Graae og Richard Aas. [Ældre facade]. Se noter.;7;1;(Intet Pedal)
1990;Holbæk Kirke;Carsten Lund;Orgelbyggeriet.;6;1;(Intet Pedal)
1994;Holevad Kirke ;Bruno Christensen & Sønner;Orgelbyggeriet. Typeorgel. [Se noter].;5;1;Pedal
1995;Houlbjerg Kirke ;Marcussen & Søn;;10;2;Pedal
1856;Husby Kirke ;Marcussen & Søn;;9;1;Anhangspedal
1996;Hylleholt Kirke ;P.G. Andersen & Bruhn;;16;2;Pedal
1868;Høm Kirke ;Knud Olsen;;4;1;(Intet Pedal)
1982;Hørning Kirke ;Bruno Christensen & Sønner;Bent Meyer. [Se noter].;14;2;Pedal
1974;Håsum Kirke ;Jensen & Thomsen;;5;1;Pedal
1890;Dølby Kirke ;Marcussen & Søn;;6;1;Anhangspedal
1996;Jelstrup Kirke ;Jensen & Thomsen;Orgelbyggeriet. [Iflg. medd. fra dette 8. marts 1996].;11;2;Pedal
1998;Kirkeby Kirke ;Marcussen & Søn;> Lars Mindedal.;16;2;Pedal
1953;Kalvslund Kirke ;Marcussen & Søn;;5;1;(Intet Pedal)
1850;Karise Kirke ;Marcussen & Søn;;14;2;Pedal
1916;Keldby Kirke ;A.H. Busch & Sønner;;6;1;Anhangspedal
1994;Kindertofte Kirke ;Jensen & Thomsen;;5;1;Anhangspedal
1872;Kirkerup Kirke ;Knud Olsen;;5;1;(Intet Pedal)
1990;Kolding, Sct. Nicolai Kirke;Bruno Christensen & Sønner;;4;1;Anhangspedal
1960;Kongens Lyngby Kirke ;Th. Frobenius & Co;Fin Ditlevsen i samarbejde med Rich. Jessen.;20;3;Pedal
1980;Løgstør Kirke;Fyns Orgelbyggeri;;4;1;(Intet Pedal)
1962;Korsør, Sct. Povls Kirke ;Th. Frobenius & Co;Holger Jensen (1962). Per Axelsen (2003).;26;3;Pedal
1995;Kragelund Kirke ;Marcussen & Søn;Birch & Svenning. Gitterudsmykning: Erik Heide.;9;2;Pedal
1848;Krogsbølle Kirke ;P.U.F. Demant;;5;1;(Intet Pedal)
1944;Kvissel Kirke ;Th. Frobenius & Co;;5;1;Anhangspedal
1971;København, Filips Kirke;Poul-Gerhard Andersen's Orgelbyggeri;;21;2;Pedal
1963;København, Frederiks Kirke;Marcussen & Søn;Rolf Graae.;51;4;Pedal
1947;København, Frederiksberg Kirke;Marcussen & Søn;;34;3;Pedal
1973;København, De Gamles Bys Kirke;I. Starup & Søn;;4;1;Anhangspedal
1990;København, Lindevang Kirke;Marcussen & Søn;;37;3;Pedal
1994;København, Lundehus Kirke;Th. Frobenius & Sønner;Holger Jensen.;21;2;Pedal
1956;København, Sct. Andreas Kirke;Th. Frobenius & Co;;40;3;Pedal
1953;København, Sct. Jakobs Kirke;Th. Frobenius & Co;Aksel Feldinger [Hertz & al. 1987].;37;3;Pedal
1953;København, Sct. Petri Kirke;Walcker;;9;2;Pedal
1983;København, Sct. Stefans Kirke;Carsten Lund;Orgelbyggeriet.;24;3;Pedal
1996;København, Sions Kirke;Carsten Lund;Rolf Graae.;29;3;Pedal
1956;København, Trinitatis Kirke;Marcussen & Søn;;53;3;Pedal
1990;København, Vestre Fængsels Kirke;Jensen & Thomsen;;17;2;Pedal
1898;Lading Kirke ;Frederik Nielsen;;4;1;(Intet Pedal)
1963;Lemvig Valgmenighedskirke ;Th. Frobenius & Co;;6;1;Pedal
1972;Viborg, Søndre Sogns Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;4;1;(Intet Pedal)
1970;Lundtofte Kirke ;Th. Frobenius & Sønner;;21;3;Pedal
1983;Lundum Kirke ;Th. Frobenius & Sønner;Rolf Graae.;5;1;Anhangspedal
1964;Lydum Kirke ;Th. Frobenius & Co;Rolf Graae og Richard Aas.;4;1;Anhangspedal
1996;Lyngby Kirke ;Marcussen & Søn;Arkitektfirma Brøgger. [Iflg. medd. fra orgelbyggeriet 1997].;6;1;Pedal
1988;Lynge Kirke ;Th. Frobenius & Sønner;Rolf Graae.;20;3;Pedal
1967;Lyngs Kirke ;Jydsk Orgelbyggeri;;5;1;Pedal
1996;Lynæs Kirke ;Gunnar Fabricius Husted;Rolf Graae. Farvesætning: Kunstmaler Mogens Jørgensen. Maler: Leo Christiansen.;20;2;Pedal
1898;Løgstør Frimenighedskirke ;Joh.P. Andresen & Co;;5;1;(Intet Pedal)
1969;Løgumkloster Kirke ;Marcussen & Søn;> 2015: Jørgen Overbys Tegnestue A/S [meddelt af orgelbyggeriet 2016].;47;3;Pedal
1966;Løjtofte Kirke ;Th. Frobenius & Co;Mogens Andersen. [meddelt 1991]. Typeorgel.;4;1;(Intet Pedal)
1971;Gamtofte Kirke ;Bruno Christensen;Leopold Teschl.;14;2;Pedal
1968;Nakskov, Sct. Nicolai Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;31;3;Pedal
1989;Nakskov, Sct. Nicolai Kirke;Povl Gerhard Due;;5;1;Anhangspedal
1964;Nautrup Kirke ;Jydsk Orgelbyggeri;Jørgen Bang.;5;1;Pedal
1995;Nibe Kirke ;Bruno Christensen & Sønner;Poul Brøgger.;25;2;Pedal
1979;Nivå Kirke ;P. Bruhn & Søn;Johannes Exner. [Iflg. medd. fra orgelbyggeriet 1980].;25;3;Pedal
1990;Nollund Kirke ;Bruno Christensen & Sønner;;7;1;Pedal
1943;Nykøbing Mors Kirke ;Marcussen & Søn;;32;3;Pedal
1857;Nysted Kirke ;Jens Gregersen;;20;2;Pedal
1976;Næsby Kirke ;P. Bruhn & Søn;Knud, Erik og Ebbe Lehn Petersen.;12;2;Pedal
1975;Næstved, Sct. Mortens Kirke ;Th. Frobenius & Sønner;> Rolf Graae og Erling Jessen [Se noter].;41;3;Pedal
1997;Nørre Bjert Kirke ;Th. Frobenius & Sønner;Birch & Svenning. Jfr. Orglet 1998,1.;14;2;Pedal
1804;Nørre Sandager Kirke ;Caspar H.G. Worm;;7;1;(Intet Pedal)
1848;Nørre Vedby Kirke ;Frederik Hoffmann Ramus;;12;1;Pedal
1969;Nørre Åby Kirke ;Th. Frobenius & Co;1969: Knud, Erik og Ebbe Lehn Petersen. 1997: Vilhelmsen, Marxen og Bech-Jensen.;8;1;Pedal
1979;Obbekær Kirke ;P. Bruhn & Søn;Orgelbyggeriet. [Iflg. medd. fra orgelbyggeriet 1980].;6;1;Pedal
1961;Odense, Sct. Hans Kirke;Marcussen & Søn;;5;1;Pedal
1989;Odense, Vor Frue Kirke ;Th. Frobenius & Sønner;Ebbe Lehn Petersen.;39;3;Pedal
1983;Ommel Kirke ;Th. Frobenius & Sønner;> Alan Havsteen-Mikkelsen.;8;1;Pedal
1989;Osted Kirke ;Th. Frobenius & Sønner;;12;2;Pedal
1965;Oue Kirke ;Jydsk Orgelbyggeri;;5;1;Pedal
1976;Ovsted Kirke ;Jensen & Thomsen;Antagelig orgelbyggeriet.;8;1;Pedal
1872;Pederstrup Kirke ;J.A. Demant;;3;1;(Intet Pedal)
1946;Randerup Kirke ;Th. Frobenius & Co;Fin Ditlevsen.;5;1;Pedal
1978;Ribe, Sct. Catharinæ Kirke ;Bruno Christensen & Sønner;Hovedorgel: Johan Nicolai Scheer 1795 (omdannet 1978). Rygpositiv: H. Lønborg-Jensen 1932.;49;4;Pedal
1994;Rind Kirke ;Bruno Christensen & Sønner;Arkitekterne, Thisted. [Iflg. medd. fra orgelbyggeriet, jfr. Orglet 1995,1].;10;2;Pedal
1974;Ringkøbing Kirke;Th. Frobenius & Sønner;Rolf Graae.;22;2;Pedal
1885;Rise Kirke ;Marcussen & Søn;;17;2;Pedal
1884 (?);Ristinge Kirke ;Frederik Nielsen;;4;1;(Intet Pedal)
1985;Roskilde, Himmelev Kirke ;Jensen & Thomsen;Rolf Graae.;14;2;Pedal
1995;Rye, Sct. Sørens Kirke ;Marcussen & Søn;Poul Brøgger. [Se noter].;17;2;Pedal
1994;Råby Kirke ;Marcussen & Søn;Vilhelmsen, Marxen og Bech-Jensen.;9;2;Pedal
1866;Sakskøbing Kirke ;Daniel Köhne;;17;2;Pedal
1983;Seem Kirke ;P. Bruhn & Søn;Sv.Aa. Aakjær. [Iflg. Danmarks Kirker].;7;1;Pedal
1952;Skuldelev Kirke ;Th. Frobenius & Co;Fin Ditlevsen.;7;1;Pedal
1964;Skælskør Kirke ;Th. Frobenius & Co;Arkitekter: Hans Erik Engqvist og Karsten Rønnow. NB: Ældre facade.;18;2;Pedal
1996;Skæring Kirke ;Th. Frobenius & Sønner;Inger & Johannes Exner. [Iflg. medd. fra orgelbyggeriet 1997].;16;2;Pedal
1965;Skærup Kirke ;Th. Frobenius & Sønner;Chr. Pedersen.;7;1;Pedal
1942;Skørring Kirke ;A.C. Zachariasen;;4;1;(Intet Pedal)
1976;Skårup Kirke ;P. Bruhn & Søn;;10;2;Pedal
1961;Slagelse, Sct. Mikkels Kirke ;Marcussen & Søn;Poul-Gerhard Andersen. [Iflg. Nyholm 1987].;35;3;Pedal
1945;Solbjerg Kirke ;Marcussen & Søn;;7;1;Pedal
1942;Sorø Kirke ;Marcussen & Søn;Kaare Klint i samarbejde med orgelbyggeriet. [Jensen 1994]. Billedskærere: 1628: Peter Jürgensen. 1944: Erik Pedersen.;37;3;Pedal
1973;Sorø Kirke;Poul-Gerhard Andersen's Orgelbyggeri;;6;1;Anhangspedal
1861;Stenmagle Kirke ;Jens Gregersen;;5;1;(Intet Pedal)
1877;Store Heddinge Kirke;Knud Olsen;;17;2;Pedal
1976;Store Heddinge Kirke ;Th. Frobenius & Sønner;> Preben Thorsen.;20;2;Pedal
1997;Stouby Kirke ;Bruno Christensen & Sønner;Birch & Svenning;11;2;Pedal
1973;Strandby Kirke ;I. Starup & Søn;;10;2;Pedal
1995;Stubbekøbing Kirke ;Th. Frobenius & Sønner;"Rolf Graae [iflg. medd. fra denne]. NB: Ældre facade genanvendt; tegnet af H.B. Storck [se noter].";27;3;Pedal
1960;Sønder Alslev Kirke ;Jydsk Orgelbyggeri;;5;1;Anhangspedal
1979;Sønderholm Kirke ;Bruno Christensen & Sønner;;9;2;Pedal
1969;Søndersø Kirke ;Th. Frobenius & Sønner;;11;2;Pedal
1995;Sørig Kirke ;Jensen & Thomsen;Orgelbyggeriet.;15;2;Pedal
1978;Teestrup Kirke ;Jensen & Thomsen;;11;2;Pedal
1968;Tolstrup Kirke ;Th. Frobenius & Sønner;;6;1;Pedal
1996;Tommerup Kirke ;Bruno Christensen & Sønner;Ebbe Lehn Petersen.;10;2;Pedal
1972;Torup Kirke ;Frederiksborg Orgelbyggeri;;12;2;Pedal
1954;Tranebjerg Kirke ;Th. Frobenius & Co;> Marinus Andersen.;11;2;Pedal
1995;Tunø Kirke ;P. Bruhn & Søn;;8;1;Pedal
1995;Tyvelse Kirke ;P.G. Andersen & Bruhn;;11;2;Pedal
1974;Tørring Kirke ;Th. Frobenius & Sønner;;7;1;Pedal
1965;Tørring Kirke ;Th. Frobenius & Co;Arkitekter: Rolf Graae og Richard Aas [se noter].;7;1;Pedal
1973;Tåstrup Nykirke ;Th. Frobenius & Sønner;;27;2;Pedal
1961;Ulstrup Kirke ;Jydsk Orgelbyggeri;1961: (Ikke oplyst). 1998: Vilhelmsen, Marxen og Bech-Jensen. [Iflg. meddelelse fra orgelbyggeriet].;11;2;Pedal
1971;Ulstrup Kirke ;Jensen & Thomsen;;6;1;Pedal
1952;Varde Kirke ;Marcussen & Søn;Rolf Graae.;33;3;Pedal
1857;Varde Kirke;Johan Andreas Ohrt;;9;1;Anhangspedal
1968;Vedslet Kirke ;Jydsk Orgelbyggeri;Edv. Thomsen. [Iflg. korrespondance i NM].;5;1;Pedal
1967;Veggerby Kirke ;Th. Frobenius & Sønner;Leopold Teschl.;7;1;Pedal
1987;Vejlby Kirke ;Th. Frobenius & Sønner;Ebbe Marxen.;12;2;Pedal
1990;Vejrum Kirke ;Th. Frobenius & Sønner;;14;2;Pedal
1961;Vejrum Kirke ;Jydsk Orgelbyggeri;;6;1;Pedal
1949;Velling Kirke ;Marcussen & Søn;;7;1;Pedal
1969;Vester Nykirke ;Bruno Christensen;;5;1;Pedal
1977;Vester Vedsted Kirke ;Bruno Christensen & Sønner;Rolf Graae (ældre facade).;12;2;Pedal
1976;Vester Åby Kirke ;Th. Frobenius & Sønner;;14;2;Pedal
1938;Vesterborg Kirke ;Th. Frobenius & Co;;7;1;Anhangspedal
1978;Vestervig Kirke ;Marcussen & Søn;;53;4;Pedal
1974;Vind Kirke ;Th. Frobenius & Sønner;Se noter.;4;1;(Intet Pedal)
1995;Virring Kirke ;Bruno Christensen & Sønner;Gert Madsen.;10;2;Pedal
1949;Viskinge Kirke ;Th. Frobenius & Co;;7;1;Pedal
1996;Voldby Kirke ;Jydsk Orgelbyggeri;Vilhelmsen, Marxen og Bech-Jensen.;8;1;Pedal
2001;Vonsild Kirke ;P.G. Andersen & Bruhn;> Kuno Mielby, Vejle [Se noter].;22;3;Pedal
1970;Vrinners Kirke ;Jydsk Orgelbyggeri;;6;1;Pedal
1984;Vrå Valgmenighedskirke ;Bruno Christensen & Sønner;;8;2;Pedal
1996;Vær Kirke ;Marcussen & Søn;Birch & Svenning. [Iflg. medd. fra orgelbyggeriet 1997].;13;2;Pedal
1979;Yding Kirke ;Bruno Christensen & Sønner;;5;1;Pedal
1881;Ærøskøbing Kirke ;Marcussen & Søn;;16;2;Pedal
1989;Øland Kirke ;Gunnar Fabricius Husted;Poul Brøgger.;18;2;Pedal
1972;Ørnhøj Kirke ;Frederiksborg Orgelbyggeri;Orgelbyggeriet ;6;1;Pedal
1973;Ørslevkloster Kirke ;Th. Frobenius & Sønner;Leopold Teschl.;9;2;Pedal
1970;Øster Skerninge Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;11;2;Pedal
1996;Øster Tørslev Kirke ;P.G. Andersen & Bruhn;;12;2;Pedal
1974;Ågerup Kirke ;Gunnar Fabricius Husted;Orgelbyggeriet.;14;2;Pedal
1961;Aalborg, Vor Frue Kirke ;Marcussen & Søn;;48;4;Pedal
1965;Ålbæk Kirke ;Brdr. Bruhn;Rolf Graae.;13;2;Pedal
1946;Ålestrup Kirke ;Th. Frobenius & Co;;11;2;Pedal
1974;Årby Kirke ;Th. Frobenius & Sønner;Mogens Andersen [Se noter].;14;2;Pedal
1994;Aarhus, Åbyhøj Kirke ;Marcussen & Søn;H. Lønborg-Jensen.;26;3;Pedal
1965;København, Vor Frelsers Kirke;Poul-Gerhard Andersen's Orgelbyggeri;;58;4;Pedal
1995;København, Vor Frue Kirke;Marcussen & Søn;Vilhelm Wohlert.;87;5;Pedal
1968;Køge Kirke ;Marcussen & Søn;Rolf Graae.;38;3;Pedal
1874 (?);Langøre Kirke ;J.A. Demant;;3;1;(Intet Pedal)
1975;Linnerup Kirke ;Bruno Christensen & Sønner;Orgelbyggeren. [Typeorgel, se noter].;4;1;(Intet Pedal)
1970;Lunde Kirke ;I. Starup & Søn;;7;2;Pedal
1994;Lyng Kirke ;P. Bruhn & Søn;Inger & Johannes Exner.;15;2;Pedal
1944;Lyngby Kirke ;Marcussen & Søn;;10;1;Pedal
1989;Lystrup Kirke ;Th. Frobenius & Sønner;Arkitektgruppen Regnbuen i samarbejde med orgelbyggeriet. (Se endvidere noter).;21;2;Pedal
1973;Læborg Kirke ;Th. Frobenius & Sønner;;5;1;Pedal
1924;Løkken Kirke ;Marcussen & Søn;> Arkitekt (1993): Alan Havsteen-Mikkelsen. [Iflg. Organistbladet 1993, s. 362]. > Arkitekt og farvekonsulent (2014): Jørgen Ussing.;18;3;Pedal
1992;Lønborg kirke ;P. Bruhn & Søn;Vilhelmsen, Aarhus. NB: ældre facade genanvendt. [Ifølge meddelelse fra orgelbyggeriet 1993].;7;1;Pedal
1901;Maglebrænde Kirke ;Gebr. Rieger;;4;1;(Intet Pedal)
1994;Magleby Kirke ;Albert E. Lang;Preben Thorsen. (Se noter].;14;2;Pedal
1852;Malle Kirke ;Peter Mortensen Gudme;;5;1;(Intet Pedal)
1954;Malt Kirke ;Marcussen & Søn;Orgelbyggeriet.;7;1;Pedal
1914;Maribo Domkirke ;I. Starup;;50;3;Pedal
1973;Marstal Kirke ;Th. Frobenius & Sønner;Arkitekter: Knud, Erik og Ebbe Lehn Petersen. ;16;2;Pedal
1962;Middelfart Kirke ;Th. Frobenius & Co;Rolf Graae. ;29;3;Pedal
1882;Moltrup Kirke ;Marcussen & Søn;;12;1;Pedal
1977;Mosbjerg Kirke ;Frederiksborg Orgelbyggeri;.;6;1;Pedal
1982;Mosede Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;21;2;Pedal
1679;Møgeltønder Kirke ;Anonym Mester;;25;2;Pedal
1989;Mørkøv Kirke ;Th. Frobenius & Sønner;;9;2;Pedal
1990;Nebsager Kirke ;Th. Frobenius & Sønner;Ebbe Marxen. [Medd. af orgelbyggeriet].;7;1;Pedal
1893;Nustrup Kirke ;Marcussen & Søn;;13;2;Pedal
1973;Nyborg, Vor Frue Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;> P.-G. Andersen, i samarbejde med Marinus Andersen.;44;3;Pedal
1976;Nybøl Kirke ;Marcussen & Søn;;12;2;Pedal
1960;Nyker, Nykirke ;I. Starup & Søn;Marinus Andersen.;6;1;Pedal
1980;Nykøbing Falster Kirke ;Th. Frobenius & Sønner;Peter Paludan.;45;3;Pedal
1994;Nykøbing Sjælland Kirke ;Gunnar Fabricius Husted;Rolf Graae. [Iflg. meddelelse fra orgelbyggeriet april 1994]. Farvesætning: Mogens Jørgensen. [Iflg. meddelelse fra orgelbyggeriet april 1994].;26;2;Pedal
1915;Nykøbing Sjælland, Psykiatrihospitalets Kirke ;I. Starup;K. Varming. [Se noter].;4;1;(Intet Pedal)
1966;Nørre Nærå Kirke ;Th. Frobenius & Co;1966: Rolf Graae. 1994: Ebbe Lehn Petersen.;16;2;Pedal
1967;Røgen Kirke ;Jydsk Orgelbyggeri;Vinther & Roldsgaard. [Se noter].;6;1;Pedal
1968;Nørre Tranders Kirke ;Frederiksborg Orgelbyggeri;;23;2;Pedal
1994;Odder Kirke ;Th. Frobenius & Sønner;Vilhelmsen, Marxen og Bech-Jensen. [Iflg. medd. fra orgelbyggeriet 7. marts 1995].;18;2;Pedal
1890;Odder Valgmenighedskirke ;Frederik Nielsen;(1948) N.M. Nielsen.;6;1;(Intet Pedal)
1962;Odense, Sct. Hans Kirke ;Marcussen & Søn;Knud, Erik og Ebbe Lehn Petersen. [Iflg. medd. fra tegnestuen].;37;3;Pedal
1965;Odense, Sct. Knuds Kirke ;Marcussen & Søn;Se noter.;57;4;Pedal
1989;Odense, Vor Frue Kirke;P. Bruhn & Søn;;4;1;(Intet Pedal)
1950;Olsker, Sct. Ols Kirke ;I. Starup & Søn;V. Hardie-Fischer.;5;1;Anhangspedal
1971;Pedersborg Kirke ;Jensen & Thomsen;Arkitekter: Rolf Graae og Erling Jessen.;10;2;Pedal
1996;Randers, Enghøj Kirke ;Th. Frobenius & Sønner;Henning Larsen.;17;2;Pedal
1995;Ravnkilde kirke ;Bruno Christensen & Sønner;Poul Brøgger.;10;2;Pedal
1973;Ribe Domkirke ;Th. Frobenius & Sønner;"1973: Knud, Erik og Ebbe Lehn Petersen (facade-""rekonstruktion""). 1994: Ebbe Lehn Petersen. [Iflg. medd. fra orgelbyggeriet 9. marts 1995].";50;4;Pedal
1970;Ringsted, Sct. Bendts Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;Poul-Gerhard Andersen i samarbejde med Marinus Andersen [se noter].;46;3;Pedal
1992;Rise Kirke ;Marcussen & Søn;.;21;2;Pedal
1857;Roskilde Klosterkirke ;Demant & Søn;;4;2;Pedal
1961;Rousthøje Kirke ;Frederiksborg Orgelbyggeri;;4;1;(Intet Pedal)
1889;Rye Kirke;Knud Olsen;Erik Bahn.;5;1;(Intet Pedal)
1976;Rødbyhavn Kirke ;Bruno Christensen & Sønner;;11;2;Pedal
1995;Rødhus Kirke ;Gunnar Fabricius Husted;Orgelbyggeriet? [se noter].;6;2;Pedal
1893;Rørup Kirke ;Frederik Nielsen;;6;1;(Intet Pedal)
1994;Rørvig Kirke ;Jensen & Thomsen;;14;2;Pedal
1959;Saltum Kirke ;Jydsk Orgelbyggeri;;7;1;Pedal
1994;Sem Kirke ;Jydsk Orgelbyggeri;Ebbe Marxen. [Iflg. medd. fra orgelbyggeriet marts 1994].;6;1;Pedal
1968;Koldmose Kirke ;I. Starup & Søn;Rolf Graae [iflg. meddelelse fra kirken, jf. i øvrigt fortegnelsen i Dansk Orgelaarbog 1987-1988-1989, s. 14].;6;1;Pedal
1977;Silkeborg, Alderslyst Kirke ;Th. Frobenius & Sønner;Viggo Hardie-Fischer [Se noter].;21;2;Pedal
1906;Simmerbølle Kirke ;Joh.P. Andresen & Co;;6;1;(Intet Pedal)
1992;Sindbjerg Kirke ;Bruno Christensen & Sønner;Orgelbyggeriet. [Ifølge meddelelse fra orgelbyggeriet 1993].;10;2;Pedal
1985;Sjørring Kirke ;Troels Krohn;;7;1;Pedal
1978;Skads Kirke ;P. Bruhn & Søn;Orgelbyggeren.;9;2;Pedal
1927;Skibby Kirke ;Th. Frobenius & Co;Johannes Tidemand-Dal.;7;1;Pedal
1975;Skibet Kirke ;Th. Frobenius & Sønner;> Viggo Hardie-Fischer [Danmarks Kirker].;12;2;Pedal
1993;Skjoldborg Kirke ;Bruno Christensen & Sønner;Arkitekterne, Thisted, v/ Ib Lydholm.;10;2;Pedal
1984;Skoven Kirke ;Jensen & Thomsen;;9;1;Pedal
1968;Skovshoved Kirke ;Th. Frobenius & Sønner;Erik Møller.;24;3;Pedal
1995;Skrave Kirke ;Anders Havgaard Rasmussen;;7;1;Pedal
1987;Skydebjerg Kirke ;Marcussen & Søn;;7;1;Pedal
1971;Skørping Nykirke ;Jydsk Orgelbyggeri;;14;2;Pedal
1989;Smørum Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;16;2;Pedal
1993;Snedsted Kirke ;Bruno Christensen & Sønner;Arkitekterne, Thisted, v/Olaf Brush. [Medd. af orgelbyggeriet 1994].;16;2;Pedal
1989;Sorgenfri Kirke ;Th. Frobenius & Sønner;;36;3;Pedal
1844;Sottrup Kirke ;Marcussen & Reuter;;15;2;Pedal
1920;Starup Kirke ;Marcussen & Søn;;13;2;Pedal
1945;Stenderup Kirke ;Th. Frobenius & Sønner;Fin Ditlevsen.;5;1;(Intet Pedal)
1898;Stenløse Kirke ;A.H. Busch & Sønner;;5;1;Anhangspedal
1956;Sundby Kirke ;Th. Frobenius & Co;;7;1;Pedal
1960;Svindinge Kirke ;I. Starup & Søn;;6;2;Pedal
1990;Sæby Kirke ;Albert E. Lang;HS Rådgivning, Slagelse.;12;2;Pedal
1993;Særløse Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;Muligvis Per Axelsen, Roskilde. [Se noter].;11;2;Pedal
1984;Søby Kirke ;Th. Frobenius & Sønner;;10;2;Pedal
1960;Sønder Omme Kirke ;Marcussen & Søn;> Helge Andreassen [Se noter].;7;1;Pedal
1955;Tanderup Kirke ;I. Starup & Søn;Mogens Koch.;12;2;Pedal
1971;Terslev Kirke ;Frederiksborg Orgelbyggeri;;7;2;Pedal
1974;Them Kirke ;Marcussen & Søn;;16;2;Pedal
1972;Thisted Kirke ;Th. Frobenius & Sønner;;46;3;Pedal
1969;Thisted Kirke;Klaus Becker;;3;1;(Intet Pedal)
1855;Thyrsting Kirke ;P.U.F. Demant;;5;1;(Intet Pedal)
1960;Tjæreby Kirke ;Th. Frobenius & Co;;5;1;Pedal
1994;Tornbjerg Kirke ;P. Bruhn & Søn;;18;2;Pedal
1850 (?);Tranderup Kirke ;Peter Mortensen Gudme;;4;1;(Intet Pedal)
1966;Tullebølle Kirke ;Th. Frobenius & Co;;10;2;Pedal
1995;Tyrsted Kirke ;Bruno Christensen & Sønner;Vilhelmsen, Marxen og Bech-Jensen.;13;2;Pedal
1973;Tyrstrup Kirke ;P. Bruhn & Søn;;21;2;Pedal
1860 (?);Tystrup Kirke ;Peter Mortensen Gudme;;4;1;(Intet Pedal)
1966;Tølløse Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;Rolf Graae.;6;1;Pedal
1946;Tønder Kirke ;Th. Frobenius & Co;;37;3;Pedal
1978;Tønning Kirke ;P. Bruhn & Søn;Orgelbyggeren. [Iflg. medd. fra denne].;6;1;Pedal
1994;Tårs Kirke ;Th. Frobenius & Sønner;Arkitektfirma Brøgger.;24;2;Pedal
1996;Udlejre Kirke ;P.G. Andersen & Bruhn;Jens Munk eller Niels Munch [se noter].;22;2;Pedal
1971;Ullerup Kirke ;Marcussen & Søn;;15;2;Pedal
1977;Understed Kirke ;Bruno Christensen & Sønner;;7;1;Pedal
1993;Vadum Kirke ;Bruno Christensen & Sønner;Brøgger, arkitektfirma A/S, Gistrup. [Medd. fra orgelbyggeriet 1994].;14;2;Pedal
1971;Vallekilde Kirke ;Jensen & Thomsen;Orgelbyggeriet. [Se noter].;7;1;Pedal
1980;Frederikssund Kirke ;P. Bruhn & Søn;Rolf Graae [iflg. medd. fra orgelbyggeriet 1981].;20;2;Pedal
1981;Vejlby Kirke ;Jydsk Orgelbyggeri;Gravers & Malling.;16;2;Pedal
1988;Vejle, Sct. Johannes Kirke;Bruno Christensen & Sønner;;6;1;Pedal
1969;Vejle, Sct. Nicolai Kirke ;Th. Frobenius & Sønner;;30;3;Pedal
1977;Venø Kirke ;P. Bruhn & Søn;> Typeorgel [Se noter]. Orglet er tegnet af orgelbyggeriet [iflg. meddelelse fra dette].;5;1;Pedal
1987;Vester Assels Kirke ;Jydsk Orgelbyggeri;;5;1;Pedal
1979;Vester Starup Kirke ;Jydsk Orgelbyggeri;;5;1;(Intet Pedal)
1966;Viborg Domkirke ;Marcussen & Søn;Thomas Havning. [Iflg. Nyholm, Hans: Kirkeorgler i Danmark. Turistårbogen 1987, s. 58-73].;64;4;Pedal
1993;Viborg, Houlkær Kirke ;P. Bruhn & Søn;[Intet oplyst i orgelbyggeriets indberetning 1994].;15;2;Pedal
1945;Vig Kirke ;Th. Frobenius & Co;Mogens Koch.;10;2;Pedal
1942;Vilslev Kirke ;Th. Frobenius & Co;Professor Werner March, Berlin (den tyske skoles arkitekt). [Se noter].;8;1;Pedal
1979;Vinding Kirke ;Bruno Christensen & Sønner;;5;1;Pedal
